model,avg_bdm,avg_shannon,avg_lzw,avg_zip,avg_bdm_lzw,avg_shannon_lzw,avg_bdm_zip,avg_shannon_zip
gpt_4o,219.09926849183023,2.5382970870862427,100.8,24.68,1776.4894082638552,5.530737978177333,512.5500685677405,3.9767003580192357
claude,418.62668835801094,3.4606525118017673,112.16,35.96,2065.7356657939945,5.823194052900544,728.6794053177172,4.462744598112447
gpt_4o_mini,317.04369236929983,3.0459692969185244,105.24,29.64,1925.3051425381864,5.738362139801484,591.0560366092918,4.144044149490906
cursor_small,314.13843418263326,3.026858662988408,105.04,29.36,1922.6526524179862,5.739222464926264,584.6363427510765,4.128039880833489
gemini,390.4806373309799,3.335809757337826,110.24,34.12,1974.193277133163,5.734600651778642,688.2437481893606,4.380572851572319
meta,418.62668835801094,3.4606525118017673,112.16,35.96,2065.7356657939945,5.823194052900544,728.6794053177172,4.462744598112447
o1_mini,317.04369236929983,3.0459692969185244,105.24,29.64,1925.3051425381864,5.738362139801484,591.0560366092918,4.144044149490906
o1_preview,418.62668835801094,3.4606525118017673,112.16,35.96,2065.7356657939945,5.823194052900544,728.6794053177172,4.462744598112447
