model,avg_bdm,avg_shannon,avg_lzw,avg_zip,avg_bdm_lzw,avg_shannon_lzw,avg_bdm_zip,avg_shannon_zip
gpt_4o,442.03065396568076,3.702514869695887,111.92,47.84,2164.7985191953926,5.96214125543961,1010.3890236539845,4.97372033282436
claude,669.3147476569503,4.195361379059609,122.16,49.48,2272.5882484992962,5.96769984250919,1032.578538652375,4.944202000056453
gpt_4o_mini,219.09926849183023,2.5382970870862427,100.8,24.68,1776.4894082638552,5.530737978177333,512.5500685677405,3.9767003580192357
cursor_small,219.09926849183023,2.5382970870862427,100.8,24.68,1776.4894082638552,5.530737978177333,512.5500685677405,3.9767003580192357
gemini,219.09926849183023,2.5382970870862427,100.8,24.68,1776.4894082638552,5.530737978177333,512.5500685677405,3.9767003580192357
meta,416.9733534272223,3.634198215111113,106.56,37.32,1945.212984310126,5.761870880926166,767.2094915035493,4.539263613376664
o1_mini,650.2176002460985,4.100535012417221,124.76,52.8,2341.473867499252,6.01501954022257,1105.0641599123032,5.0165950654887475
o1_preview,693.0279524849127,4.316432698252214,127.64,61.16,2441.0697948280945,6.112111628528343,1267.7714157110236,5.256223751956969
