sex,age,field,language,education,paranormal,toss.K,toss.RT,grid.K,grid.RT,guess.K,guess.RT,roll.K,roll.RT,spot.K,spot.RT,K,toss,guess,roll,spot,grid,RT
female,40.35616438,other,english,5,5,-1.438529766,12.4,1.821416993,6.6,0.559880868,15.6,1.721647161,8.1,0.5369238,12.7,0.640267811,1.01101E+11,2412541543,5263515426,7754165898,10100101,55.4
female,40.64109589,humanities,french,6,1,-1.046038579,31,-0.596190895,17.3,1.442662916,29.6,0.672785484,36.1,1.236711004,7.1,0.341985986,110011001,5114535241,3153632612,6748135899,110010001,121.1
male,39.77260274,other,french,4,0,1.060495216,17.1,0.20659518,10.7,-2.419241039,33.6,1.174953844,13.2,-15.15284495,9.6,-3.026008351,1011101001,4222522233,5532456215,6666666666,101000110,84.2
male,28.92328767,science,french,6,1,0.404517268,16.6,-0.179909136,9.6,1.139676282,24.8,0.156026837,10.9,0.710334381,13.9,0.446129126,1.1101E+11,5122324355,1411542133,5257411695,110100001,75.8
female,30.92876712,humanities,french,6,1,0.108783204,17.6,0.35618483,9.5,1.459340269,41.8,-1.370119951,19.3,1.423007565,6.9,0.395439183,1.00011E+11,3445522314,6564665545,6536724893,110010101,95.1
male,31.40547945,science,french,6,0,-0.189567147,9.5,1.773448729,10,0.751433914,22.1,1.573375568,10.6,-0.293929031,13.4,0.722952407,1.10111E+11,3453123422,2516543265,4575528699,110101100,65.6
female,23.26027397,humanities,french,6,0,-0.818235958,9.9,-0.596190895,3.5,1.476226748,12.1,1.194754859,10.5,-9.913096966,9.8,-1.731308443,1.10001E+11,2534251324,5625543216,8534444444,100101011,45.8
male,38.89863014,other,french,5,0,0.374697463,12.3,1.821416993,9.2,1.056283797,12.5,0.840130398,12.4,0.235749792,10.1,0.865655689,1001110100,4212543411,1533665125,5822448952,100001110,56.5
female,32.50410959,0,french,3,1,0.108783204,11.4,0.189437849,11,1.834228356,19.9,1.980810284,9.4,1.807239669,13.8,1.184099872,1.00011E+11,2514352312,5364263152,5743912534,110011101,65.5
female,40.25205479,other,french,6,0,-1.438529766,21.9,-2.023993528,17.5,1.484750062,21.9,1.743649822,10.6,-1.852677193,10.3,-0.417360121,1.01101E+11,2314254231,1453266412,5562344484,1000,82.2
male,21.90684932,other,french,4,2,-4.415494561,20.7,0.35618483,11.5,0.639641753,14.1,1.284853738,9,0.299985829,11.6,-0.366965682,0,1234512345,1536246612,5534956578,11100010,66.9
male,37.32328767,other,french,4,0,-0.873085407,21.2,0.285179156,16.5,-0.146836429,27.1,-0.652218417,25.2,0.449992907,27,-0.187393638,11000010,3122243544,2241125515,8996144536,1000101,117
male,28.94246575,science,other,6,0,-1.324486369,7.6,0.189437849,18.8,1.004423382,15,0.796372704,7.6,-0.034989183,8.8,0.126151677,10010100101,3214354323,5214251526,5425586976,10001100,57.8
female,31.59178082,science,spanish,7,0,-1.527003245,7.8,0.446237926,12.7,1.712441616,16.7,2.229621948,6.1,2.054701956,7.4,0.98320004,1.01001E+11,5213435214,5634215326,5934761582,111110,50.7
female,55.91780822,humanities,english,4,2,0.588321834,15,-2.438154003,26.2,1.068782069,25.2,1.875353555,16.7,0.668900942,14,0.352640879,1001011001,4215422314,4211635426,8254759347,10000,97.1
female,54.68219178,humanities,french,5,0,-0.693076878,19.7,-1.474774505,12.2,-9.982032341,17.1,1.457316401,12.3,-15.15284495,8.8,-5.169082456,1.11111E+11,3333333333,6325423566,3333333333,110101111,70.1
female,38.90410959,humanities,french,5,5,-1.417663558,12.5,-0.956960541,13.3,-3.618703107,24.1,1.689281173,17.6,0.977333425,8.8,-0.665342522,1.111E+11,4444453434,2351526413,5265489718,110101101,76.3
male,24.36164384,science,other,7,1,-2.079229122,8.6,0.189437849,21.9,1.823189941,25.9,1.322590321,26.4,1.643111871,10.6,0.579820172,1010101100,3415321452,2336541653,5248675326,10100001,93.4
male,23.35068493,humanities,french,5,0,-0.755616052,5.6,-0.678035429,7.3,-1.774043833,10.2,-2.111536139,4.5,0.486335738,11.4,-0.966579143,11000001,4345454434,2225214442,5623369645,1111110,39
male,28.55616438,science,french,6,0,1.060495216,8.5,1.466399166,9.3,1.727716022,11.3,0.903391096,6.1,1.506127949,5.3,1.33282589,1011101001,4354213425,5342565441,9657836984,110001110,40.5
female,43.7890411,humanities,french,6,0,-1.283928445,28.2,0.35618483,9,-0.890604166,29.8,1.55711549,20.4,0.604291544,25.8,0.068611851,1.101E+11,4132222312,3526536142,6843869675,11010101,113.2
male,52.41643836,other,french,6,5,0.374697463,22.4,-3.040965737,31.5,1.774607071,17.6,1.22754397,19.1,0.266060698,29.8,0.120388693,1001110100,1534212533,2516416315,8546485279,0,120.4
male,46.70958904,other,french,4,0,0.213536737,83.2,1.773448729,47.5,-0.578696609,34.1,-0.204648339,99.4,1.041435357,52.8,0.449015175,101101101,2231155444,6252361114,2542734581,100101110,317
female,32.21643836,science,french,6,0,-0.720399077,20.6,0.35618483,9.5,0.26196209,17.7,-0.237140113,19.9,-0.789366848,17,-0.225751823,110110111,2321432134,5525346611,5526852485,11010101,84.7
female,33.7260274,science,french,7,0,0.225944088,27.7,1.821416993,9.5,-4.43785185,33.8,0.984587243,24.2,1.336943671,12.9,-0.013791971,1.00111E+11,5343555555,1521314516,8798431759,10001101,108.1
female,37.01917808,science,french,6,3,-0.857743415,8.2,1.036960055,8.7,1.662743022,12.7,1.372660604,8.5,1.925838252,10.2,1.028091703,11010010010,3413524251,5254163246,5342965187,1010101,48.3
male,37.36438356,science,french,5,2,-0.590539089,59.4,1.821416993,11.1,0.928780054,21.1,1.369831216,34,1.925838252,14.4,1.091065485,1.10101E+11,3422213254,3563426132,5297364187,110001100,140
male,43.57808219,science,french,6,5,-0.369969093,20.3,0.35618483,18.5,1.568531255,29.7,0.763061007,18.3,1.651560494,13.1,0.793873699,1.11001E+11,5234412455,2263145214,5982375842,11010101,99.9
male,32.38630137,humanities,french,4,4,-0.693076878,13,1.466399166,8.2,-9.982032341,11.8,-1.681539149,7.2,-15.15284495,6.9,-5.208618831,1.11111E+11,1111111111,5533225525,4444444444,101010010,47.1
